userID,artistID,tagID,day,month,year
0,50,12,1,4,2009
0,50,14,1,4,2009
0,50,17,1,4,2009
0,50,20,1,4,2009
0,50,40,1,4,2009
0,61,12,1,4,2009
0,61,13,1,4,2009
0,61,22,1,4,2009
0,61,39,1,4,2009
0,71,12,1,4,2009
0,71,13,1,4,2009
0,71,14,1,4,2009
0,71,17,1,4,2009
0,71,19,1,4,2009
0,71,20,1,4,2009
0,71,21,1,4,2009
0,71,25,1,4,2009
0,92,12,1,4,2009
0,92,14,1,4,2009
0,92,19,1,4,2009
0,92,20,1,4,2009
0,92,21,1,4,2009
0,92,35,1,4,2009
0,92,36,1,4,2009
0,92,38,1,4,2009
0,94,18,1,4,2009
0,94,23,1,4,2009
0,990,15,1,5,2009
0,990,16,1,5,2009
0,990,23,1,5,2009
0,990,24,1,5,2009
0,990,41,1,5,2009
0,990,42,1,5,2009
0,3842,15,1,5,2009
0,3842,31,1,5,2009
0,3842,32,1,5,2009
0,6082,13,1,5,2009
0,6082,33,1,5,2009
0,6099,12,1,5,2009
0,6099,13,1,5,2009
0,6099,14,1,5,2009
0,6099,19,1,5,2009
0,6099,37,1,5,2009
0,9180,17,1,5,2009
0,9180,34,1,5,2009
1,99,13,1,2,2010
1,99,14,1,3,2009
1,99,32,1,2,2009
1,99,43,1,7,2009
1,99,44,1,7,2009
1,99,45,1,3,2009
1,99,46,1,2,2010
1,99,47,1,8,2009
1,99,48,1,3,2009
1,99,49,1,7,2009
1,99,50,1,8,2009
1,99,51,1,10,2010
1,99,52,1,5,2010
1,99,53,1,9,2009
1,99,54,1,7,2009
1,99,55,1,7,2009
1,99,56,1,3,2010
1,99,57,1,11,2009
1,99,62,1,11,2010
1,99,63,1,8,2010
1,99,64,1,3,2010
1,99,67,1,10,2009
1,99,70,1,2,2010
1,100,13,1,9,2009
1,100,14,1,8,2010
1,100,17,1,9,2009
1,100,32,1,9,2009
1,100,43,1,8,2010
1,100,44,1,8,2010
1,100,45,1,8,2010
1,100,68,1,9,2009
1,104,13,1,11,2010
1,104,32,1,11,2010
1,104,33,1,11,2010
1,104,43,1,11,2010
1,104,51,1,11,2010
1,106,14,1,2,2009
1,106,32,1,2,2009
1,106,45,1,2,2009
1,106,46,1,10,2009
1,106,48,1,2,2009
1,106,54,1,2,2009
1,120,14,1,2,2009
1,120,32,1,2,2009
1,120,45,1,2,2009
1,126,13,1,2,2010
1,126,52,1,2,2010
1,128,13,1,8,2010
1,128,32,1,8,2010
1,128,43,1,8,2010
1,128,65,1,8,2010
1,132,13,1,9,2010
1,132,32,1,9,2010
1,132,33,1,9,2010
1,132,69,1,9,2010
1,135,43,1,10,2009
2,49,15,1,12,2007
2,49,24,1,3,2007
2,51,17,1,10,2007
2,62,12,1,6,2007
2,62,17,1,12,2009
2,68,17,1,10,2007
2,70,17,1,6,2007
2,78,17,1,10,2007
2,97,72,1,12,2007
2,149,13,1,6,2007
2,150,74,1,3,2007
2,151,73,1,12,2007
2,152,78,1,10,2007
2,154,78,1,6,2007
2,155,23,1,10,2007
2,160,76,1,9,2007
2,161,74,1,7,2007
2,162,92,1,6,2007
2,163,17,1,10,2007
2,165,79,1,5,2007
2,168,77,1,4,2007
2,169,72,1,11,2007
2,171,77,1,6,2007
2,172,87,1,6,2007
2,173,13,1,6,2007
2,178,23,1,12,2007
2,178,71,1,12,2007
2,179,81,1,3,2007
2,181,84,1,4,2007
2,182,23,1,10,2007
2,183,72,1,12,2007
2,186,75,1,6,2007
2,190,23,1,10,2007
2,191,24,1,5,2007
2,215,83,1,3,2007
2,461,23,1,10,2007
2,465,23,1,10,2007
2,630,86,1,10,2007
2,704,71,1,10,2007
2,724,88,1,10,2007
2,913,0,1,5,2008
2,913,90,1,5,2007
2,915,75,1,3,2007
2,1004,89,1,4,2007
2,1243,72,1,10,2007
2,1290,85,1,12,2007
2,1380,83,1,4,2007
2,1708,17,1,11,2007
2,1740,17,1,10,2007
2,1805,71,1,12,2007
2,1819,14,1,6,2007
2,1865,91,1,3,2007
2,1868,77,1,3,2007
2,1912,6,1,8,2007
2,2363,75,1,9,2007
2,2949,5,1,5,2007
2,3390,75,1,9,2007
2,3811,89,1,10,2007
2,3936,73,1,4,2008
2,8149,82,1,10,2007
2,8389,72,1,10,2007
3,51,94,1,4,2008
3,152,93,1,4,2008
3,180,94,1,4,2008
3,180,98,1,4,2008
3,188,94,1,4,2008
3,193,94,1,4,2008
3,195,94,1,9,2010
3,198,97,1,8,2010
3,200,94,1,4,2008
3,213,94,1,4,2008
3,214,93,1,8,2010
3,220,93,1,4,2008
3,230,93,1,4,2008
3,231,93,1,4,2008
3,234,98,1,4,2008
3,445,97,1,4,2008
3,616,95,1,4,2008
3,616,96,1,11,2009
3,616,98,1,4,2008
3,731,95,1,4,2008
3,857,93,1,4,2008
3,858,95,1,4,2008
3,946,94,1,4,2008
3,1118,94,1,4,2008
3,1234,94,1,4,2008
3,1378,96,1,12,2008
3,2774,95,1,4,2008
3,3191,93,1,4,2008
3,3191,94,1,4,2008
3,3191,95,1,4,2008
3,3191,97,1,4,2008
3,3404,96,1,12,2008
3,3642,93,1,4,2008
3,3642,97,1,4,2008
3,3697,95,1,4,2008
3,4027,94,1,4,2008
3,4060,95,1,4,2008
3,8594,98,1,4,2008
3,10434,93,1,4,2008
3,10434,94,1,4,2008
3,12434,96,1,12,2008
3,13363,94,1,9,2008
3,13363,96,1,12,2008
4,241,116,1,1,2011
4,241,117,1,1,2011
4,241,118,1,1,2011
4,241,119,1,1,2011
4,242,99,1,1,2011
4,242,100,1,1,2011
4,242,111,1,1,2011
4,242,112,1,1,2011
4,242,113,1,1,2011
4,710,120,1,12,2008
4,2899,101,1,12,2008
4,2899,102,1,12,2008
4,2899,121,1,12,2008
4,2899,122,1,12,2008
5,53,126,1,5,2008
5,286,126,1,11,2007
5,286,127,1,4,2007
6,289,23,1,11,2006
6,289,129,1,11,2006
6,332,23,1,11,2006
6,332,29,1,11,2006
6,332,129,1,11,2006
6,332,130,1,11,2006
6,333,23,1,11,2006
6,333,29,1,11,2006
6,333,72,1,11,2006
6,343,29,1,11,2006
6,343,129,1,11,2006
6,343,133,1,11,2006
6,343,134,1,11,2006
6,343,135,1,11,2006
6,346,29,1,11,2006
6,346,72,1,11,2006
6,355,126,1,12,2006
6,13724,23,1,11,2006
6,13724,29,1,11,2006
6,13724,129,1,11,2006
7,7,72,1,6,2008
7,7,137,1,6,2008
7,7,138,1,6,2008
7,7,140,1,6,2008
7,207,72,1,11,2007
7,219,136,1,5,2008
7,227,72,1,11,2007
7,256,136,1,5,2008
7,368,137,1,11,2007
7,369,136,1,5,2008
7,370,136,1,5,2008
7,370,138,1,11,2007
7,371,145,1,10,2010
7,371,154,1,10,2010
7,371,155,1,10,2010
7,371,156,1,10,2010
7,371,157,1,10,2010
7,372,136,1,5,2008
7,373,139,1,11,2007
7,374,136,1,5,2008
7,375,72,1,11,2007
7,375,136,1,5,2008
7,377,136,1,5,2008
7,377,139,1,11,2007
7,380,140,1,11,2007
7,382,143,1,11,2007
