artistID,tagID,value
0,138,1
0,140,1
0,178,1
0,534,1
0,545,1
0,1205,1
0,2800,1
1,13,1
1,17,1
1,29,1
1,60,1
1,126,1
1,178,1
1,189,1
1,232,1
1,568,1
1,720,1
1,9613,1
2,3,1
2,2052,1
2,3634,1
2,4043,1
2,4048,1
2,8458,1
3,0,1
3,6,1
3,72,1
3,138,1
3,140,1
3,178,1
3,534,1
3,7244,1
3,9136,1
4,178,1
4,189,1
4,568,1
4,605,1
4,1090,1
5,3,1
5,6,1
5,81,1
5,126,1
5,178,1
5,189,1
5,190,1
5,232,1
5,284,1
5,517,1
5,706,1
5,786,1
5,1468,1
5,1470,1
5,7657,1
5,9136,1
6,0,1
6,1,1
6,5,1
6,6,1
6,55,1
6,60,1
6,71,1
6,72,1
6,77,1
6,78,1
6,79,1
6,126,1
6,175,1
6,176,1
6,177,1
6,178,1
6,183,1
6,188,1
6,189,1
6,190,1
6,209,1
6,215,1
6,231,1
6,232,1
6,233,1
6,237,1
6,284,1
6,305,1
6,345,1
6,363,1
6,379,1
6,474,1
6,517,1
6,536,1
6,548,1
6,603,1
6,616,1
6,730,1
6,786,1
6,790,1
6,797,1
6,803,1
6,843,1
6,1090,1
6,1496,1
6,1682,1
6,1944,1
6,1945,1
6,1946,1
6,2099,1
6,2325,1
6,2557,1
6,2706,1
6,3601,1
6,3810,1
6,3811,1
6,3818,1
6,4835,1
6,6015,1
6,6670,1
6,9308,1
6,9592,1
6,9679,1
6,9698,1
6,10296,1
6,10297,1
6,10641,1
6,10709,1
6,11126,1
6,11474,1
6,11475,1
6,11481,1
6,11549,1
7,0,1
7,72,1
7,137,1
7,138,1
7,140,1
7,232,1
7,357,1
7,534,1
7,545,1
7,1205,1
7,2115,1
8,8,1
8,11,1
8,17,1
8,60,1
8,85,1
8,126,1
8,308,1
8,555,1
8,556,1
8,558,1
8,563,1
8,564,1
8,565,1
8,569,1
8,570,1
8,573,1
8,588,1
8,590,1
8,1433,1
8,2744,1
8,3601,1
8,6486,1
9,9,1
9,17,1
9,60,1
9,85,1
9,378,1
9,556,1
9,558,1
9,600,1
10,17,1
10,29,1
10,60,1
10,85,1
10,556,1
10,558,1
10,560,1
11,3,1
11,4,1
11,187,1
11,735,1
11,736,1
11,2056,1
11,3438,1
11,6501,1
11,7615,1
11,9109,1
11,9110,1
12,8,1
12,9,1
12,11,1
12,17,1
12,60,1
12,85,1
12,558,1
12,4221,1
13,9,1
13,11,1
13,60,1
13,85,1
13,558,1
14,0,1
14,3,1
14,4,1
14,88,1
14,284,1
14,1468,1
14,1502,1
14,2052,1
14,2099,1
14,3081,1
14,3265,1
14,3273,1
14,3438,1
14,3632,1
14,3633,1
14,3634,1
14,3635,1
14,6486,1
14,6863,1
14,7615,1
15,17,1
15,60,1
15,178,1
15,189,1
15,568,1
15,1090,1
15,1464,1
15,2502,1
15,3606,1
15,4193,1
15,4912,1
16,9,1
16,11,1
16,60,1
16,85,1
16,556,1
16,558,1
16,2502,1
17,17,1
17,60,1
17,73,1
17,85,1
17,178,1
17,186,1
17,189,1
17,201,1
17,568,1
17,1090,1
17,1464,1
17,3601,1
17,4912,1
18,8,1
18,17,1
18,29,1
18,60,1
18,85,1
18,363,1
18,558,1
18,568,1
18,655,1
18,952,1
18,957,1
18,959,1
18,960,1
18,1433,1
18,3601,1
19,0,1
19,3,1
19,88,1
19,1502,1
19,2052,1
21,8,1
21,60,1
21,66,1
21,85,1
21,606,1
22,3,1
22,5,1
22,17,1
22,60,1
22,3437,1
22,6486,1
22,6488,1
22,6496,1
23,8,1
23,60,1
23,85,1
23,556,1
23,560,1
23,6881,1
24,0,1
24,3,1
24,4,1
24,6,1
24,120,1
24,178,1
24,843,1
24,1502,1
24,3273,1
24,6067,1
24,6493,1
24,6499,1
25,9,1
25,17,1
25,45,1
25,60,1
25,126,1
25,320,1
25,440,1
25,558,1
25,832,1
25,4221,1
25,11514,1
26,17,1
26,29,1
26,31,1
26,32,1
26,60,1
26,85,1
26,308,1
26,357,1
26,843,1
26,1090,1
26,3601,1
27,0,1
27,3,1
27,126,1
27,2051,1
27,2052,1
27,3634,1
27,4043,1
27,4044,1
27,7615,1
27,10561,1
28,17,1
28,60,1
28,66,1
28,85,1
28,318,1
28,558,1
28,568,1
29,0,1
29,13,1
29,15,1
29,16,1
29,17,1
29,24,1
29,29,1
29,32,1
29,38,1
29,60,1
29,73,1
29,78,1
29,85,1
29,87,1
29,89,1
29,126,1
29,178,1
29,232,1
29,237,1
29,301,1
29,345,1
29,388,1
29,487,1
29,568,1
29,593,1
29,949,1
29,950,1
29,952,1
29,955,1
29,956,1
29,957,1
29,958,1
29,959,1
29,960,1
29,961,1
29,962,1
29,969,1
29,2062,1
29,3167,1
29,3169,1
29,3897,1
29,4193,1
29,6413,1
30,11,1
30,60,1
30,85,1
30,126,1
30,232,1
30,556,1
30,558,1
31,3,1
31,15,1
31,16,1
31,17,1
31,24,1
31,60,1
31,73,1
31,85,1
31,126,1
31,186,1
31,357,1
31,568,1
31,593,1
31,594,1
31,595,1
31,3601,1
31,6486,1
31,9569,1
32,558,1
33,17,1
33,60,1
33,73,1
33,85,1
33,357,1
33,593,1
33,595,1
33,597,1
33,3601,1
34,60,1
34,66,1
34,606,1
35,5,1
35,17,1
35,29,1
35,60,1
35,85,1
35,186,1
35,188,1
35,231,1
35,284,1
35,789,1
35,795,1
35,1863,1
35,2100,1
35,3601,1
35,4024,1
35,11768,1
36,11,1
36,29,1
36,60,1
36,85,1
36,568,1
37,3,1
37,7,1
37,9,1
37,60,1
37,85,1
37,371,1
37,556,1
37,558,1
37,5270,1
37,10843,1
38,17,1
38,29,1
38,178,1
38,190,1
38,568,1
38,820,1
38,843,1
38,9235,1
38,9327,1
39,17,1
39,38,1
39,78,1
39,80,1
39,83,1
39,126,1
39,227,1
39,712,1
39,911,1
39,1925,1
39,5598,1
39,6944,1
39,8935,1
39,10878,1
39,11161,1
39,11290,1
39,11549,1
39,11899,1
40,11,1
40,60,1
40,85,1
40,232,1
40,558,1
41,17,1
41,60,1
41,66,1
41,85,1
41,606,1
42,29,1
42,60,1
42,85,1
42,126,1
42,178,1
42,568,1
42,1433,1
42,2677,1
43,0,1
43,17,1
43,32,1
43,60,1
43,72,1
43,78,1
43,126,1
43,180,1
43,186,1
43,496,1
43,3601,1
43,5576,1
43,7798,1
43,9312,1
43,9450,1
43,9590,1
43,11884,1
44,190,1
44,505,1
44,538,1
44,712,1
44,1092,1
44,4485,1
44,6797,1
44,6802,1
44,8101,1
44,9992,1
45,0,1
45,3,1
45,31,1
45,228,1
45,232,1
45,284,1
45,517,1
45,597,1
45,786,1
45,787,1
45,790,1
45,2052,1
45,3273,1
45,3439,1
45,3533,1
45,3634,1
45,4043,1
45,4044,1
45,4045,1
45,4046,1
45,8150,1
45,8151,1
