artistID,name,url,pictureURL
0,MALICE MIZER,http://www.last.fm/music/MALICE+MIZER,http://userserve-ak.last.fm/serve/252/10808.jpg
1,Diary of Dreams,http://www.last.fm/music/Diary+of+Dreams,http://userserve-ak.last.fm/serve/252/3052066.jpg
2,Carpathian Forest,http://www.last.fm/music/Carpathian+Forest,http://userserve-ak.last.fm/serve/252/40222717.jpg
3,Moi dix Mois,http://www.last.fm/music/Moi+dix+Mois,http://userserve-ak.last.fm/serve/252/54697835.png
4,Bella Morte,http://www.last.fm/music/Bella+Morte,http://userserve-ak.last.fm/serve/252/14789013.jpg
5,Moonspell,http://www.last.fm/music/Moonspell,http://userserve-ak.last.fm/serve/252/2181591.jpg
6,Marilyn Manson,http://www.last.fm/music/Marilyn+Manson,http://userserve-ak.last.fm/serve/252/2558217.jpg
7,DIR EN GREY,http://www.last.fm/music/DIR+EN+GREY,http://userserve-ak.last.fm/serve/252/46968835.png
8,Combichrist,http://www.last.fm/music/Combichrist,http://userserve-ak.last.fm/serve/252/51273485.jpg
9,Grendel,http://www.last.fm/music/Grendel,http://userserve-ak.last.fm/serve/252/5872875.jpg
10,Agonoize,http://www.last.fm/music/Agonoize,http://userserve-ak.last.fm/serve/252/31693309.jpg
11,Behemoth,http://www.last.fm/music/Behemoth,http://userserve-ak.last.fm/serve/252/54196161.jpg
12,Hocico,http://www.last.fm/music/Hocico,http://userserve-ak.last.fm/serve/252/34892635.jpg
14,Dimmu Borgir,http://www.last.fm/music/Dimmu+Borgir,http://userserve-ak.last.fm/serve/252/52216127.png
15,London After Midnight,http://www.last.fm/music/London+After+Midnight,http://userserve-ak.last.fm/serve/252/5364091.jpg
16,Psyclon Nine,http://www.last.fm/music/Psyclon+Nine,http://userserve-ak.last.fm/serve/252/35246025.jpg
17,The Crüxshadows,http://www.last.fm/music/The+Cr%C3%BCxshadows,http://userserve-ak.last.fm/serve/252/10323129.jpg
18,:wumpscut:,http://www.last.fm/music/%3Awumpscut%3A,http://userserve-ak.last.fm/serve/252/541326.jpg
19,Limbonic Art,http://www.last.fm/music/Limbonic+Art,http://userserve-ak.last.fm/serve/252/29314111.jpg
20,Artista sconosciuto,http://www.last.fm/music/Artista+sconosciuto,http://userserve-ak.last.fm/serve/252/17969009.png
21,xotox,http://www.last.fm/music/xotox,http://userserve-ak.last.fm/serve/252/5297893.jpg
22,The Kovenant,http://www.last.fm/music/The+Kovenant,http://userserve-ak.last.fm/serve/252/8058051.jpg
23,Feindflug,http://www.last.fm/music/Feindflug,http://userserve-ak.last.fm/serve/252/17291471.jpg
24,Cradle of Filth,http://www.last.fm/music/Cradle+of+Filth,http://userserve-ak.last.fm/serve/252/30799583.jpg
25,Tamtrum,http://www.last.fm/music/Tamtrum,http://userserve-ak.last.fm/serve/252/8193963.jpg
26,Laibach,http://www.last.fm/music/Laibach,http://userserve-ak.last.fm/serve/252/615172.jpg
27,Gorgoroth,http://www.last.fm/music/Gorgoroth,http://userserve-ak.last.fm/serve/252/35522943.jpg
29,And One,http://www.last.fm/music/And+One,http://userserve-ak.last.fm/serve/252/50818861.jpg
30,Amduscia,http://www.last.fm/music/Amduscia,http://userserve-ak.last.fm/serve/252/23951523.jpg
31,Covenant,http://www.last.fm/music/Covenant,http://userserve-ak.last.fm/serve/252/59793013.jpg
33,Icon of Coil,http://www.last.fm/music/Icon+of+Coil,http://userserve-ak.last.fm/serve/252/371747.jpg
35,KMFDM,http://www.last.fm/music/KMFDM,http://userserve-ak.last.fm/serve/252/19970449.jpg
36,Funker Vogt,http://www.last.fm/music/Funker+Vogt,http://userserve-ak.last.fm/serve/252/16436553.jpg
37,Dawn of Ashes,http://www.last.fm/music/Dawn+of+Ashes,http://userserve-ak.last.fm/serve/252/28578343.jpg
38,Sopor Aeternus & The Ensemble of Shadows,http://www.last.fm/music/Sopor%2BAeternus%2B%2526%2BThe%2BEnsemble%2Bof%2BShadows,http://userserve-ak.last.fm/serve/252/260221.jpg
39,The Faint,http://www.last.fm/music/The+Faint,http://userserve-ak.last.fm/serve/252/1985.jpg
40,God Module,http://www.last.fm/music/God+Module,http://userserve-ak.last.fm/serve/252/608782.jpg
41,Noisuf-X,http://www.last.fm/music/Noisuf-X,http://userserve-ak.last.fm/serve/252/27456325.jpg
