userID,artistID,weight
0,49,13883
0,50,11690
0,51,11351
0,52,10300
0,53,8983
0,54,6152
0,55,5955
0,56,4616
0,57,4337
0,58,4147
0,59,3923
0,60,3782
0,61,3735
0,62,3644
0,63,3579
0,64,3312
0,65,3301
0,66,2927
0,67,2720
0,68,2686
0,69,2654
0,70,2619
0,71,2584
0,72,2547
0,73,2397
0,74,2382
0,75,2120
0,76,2119
0,77,1990
0,78,1972
0,79,1948
0,80,1868
0,81,1792
0,82,1740
0,83,1638
0,84,1594
0,85,1559
0,86,1553
0,87,1519
0,88,1471
0,89,1438
0,90,1411
0,91,1407
0,92,1373
0,93,1363
0,94,1342
0,95,1337
0,96,1332
0,97,1330
0,98,1315
1,99,13176
1,100,662
1,101,493
1,102,431
1,103,403
1,104,354
1,105,269
1,106,236
1,107,215
1,108,215
1,109,212
1,110,193
1,111,187
1,112,167
1,113,163
1,114,154
1,115,151
1,116,142
1,117,142
1,118,125
1,119,111
1,120,108
1,121,104
1,122,99
1,123,98
1,124,94
1,125,89
1,126,89
1,127,86
1,128,85
1,129,84
1,130,83
1,131,83
1,132,77
1,133,77
1,134,76
1,135,75
1,136,72
1,137,72
1,138,71
1,139,70
1,140,70
1,141,70
1,142,69
1,143,68
1,144,67
1,145,67
1,146,66
1,147,66
1,148,65
2,49,228
2,51,686
2,62,420
2,63,301
2,68,389
2,70,4983
2,75,396
2,149,1807
2,150,1208
2,151,903
2,152,826
2,153,777
2,154,743
2,155,732
2,156,729
2,157,724
2,158,712
2,159,632
2,160,524
2,161,465
2,162,455
2,163,446
2,164,445
2,165,407
2,166,404
2,167,384
2,168,366
2,169,359
2,170,309
2,171,292
2,172,287
2,173,285
2,174,284
2,175,284
2,176,279
2,177,264
2,178,256
2,179,255
2,180,254
2,181,253
2,182,247
2,183,240
2,184,236
2,185,223
2,186,221
2,187,210
2,188,208
2,189,202
2,190,197
2,191,193
3,51,181
3,152,884
3,171,241
3,180,222
3,188,826
3,192,777
3,193,673
3,194,620
3,195,452
3,196,451
3,197,374
3,198,337
3,199,304
3,200,298
3,201,287
3,202,283
3,203,275
3,204,265
3,205,259
3,206,255
3,207,252
3,208,229
3,209,222
3,210,210
3,211,209
